Date,expiryDate,Symbol,Type,CMP,strikePrice,Support,Dist_from_Support,Resistance,Dist_from_Resist,PCR,RSI,MACD,MACD_Signal,MACD_Hist,BB_HI,BB_MID,BB_LO
03-10-2025,28-10-2025,SBICARD,Non-Hld,899,900,847.45,6.09,952.55,5.96,0.4,62.53,13.13,12.69,0.44,925.06,866.26,807.45
03-10-2025,28-10-2025,SBILIFE,Non-Hld,1787,1800,1725.1,3.59,1874.9,4.92,0.61,41.9,-8.16,-4.86,-3.3,1850.39,1812.34,1774.29
03-10-2025,28-10-2025,SBIN,Non-Hld,867.7,880,848.95,2.21,911.05,5,0.74,64.63,14.03,12.7,1.32,891.58,845.23,798.87
03-10-2025,28-10-2025,SHREECEM,Non-Hld,29165,30000,28649.6,1.8,31350.4,7.5,0.8,41.92,-239.56,-215.35,-24.22,30394.75,29671.75,28948.75
03-10-2025,28-10-2025,SHRIRAMFIN,Non-Hld,647.75,650,609.45,6.29,690.55,6.61,0.44,61.81,4.85,1.89,2.95,649.66,619.5,589.34
03-10-2025,28-10-2025,SIEMENS,Holding,3168,3300,3105,2.03,3495,10.33,0.77,48.65,-5.76,10.08,-15.84,3356.94,3198.11,3039.28
03-10-2025,28-10-2025,SOLARINDS,Non-Hld,13845,15000,13603.25,1.78,16396.75,18.44,0.6,44.75,-228.44,-163.54,-64.9,14939.38,14102.6,13265.82
03-10-2025,28-10-2025,SONACOMS,Non-Hld,421.4,420,392.5,7.37,447.5,6.2,0.76,43.2,-9.65,-8.99,-0.65,457.06,428.16,399.27
03-10-2025,28-10-2025,SRF,Non-Hld,2918,3000,2845.8,2.54,3154.2,8.1,1.17,51.58,-19.84,-19.33,-0.5,3015.88,2909.5,2803.12
03-10-2025,28-10-2025,SUNPHARMA,Non-Hld,1632,1600,1525.35,7,1674.65,2.62,1.11,53.71,-0.26,-1.76,1.5,1658.54,1614.54,1570.53
03-10-2025,28-10-2025,SUPREMEIND,Non-Hld,4200,4500,4140.1,1.45,4859.9,15.72,0.68,38.57,-62.28,-32.89,-29.39,4625.32,4373.11,4120.9
03-10-2025,28-10-2025,SUZLON,Non-Hld,54.62,56,52.25,4.54,59.75,9.4,0.59,31.72,-1.18,-0.9,-0.28,60.74,57.39,54.05
03-10-2025,28-10-2025,SYNGENE,Non-Hld,633.45,640,605.9,4.55,674.1,6.42,0.98,45.75,-8.3,-6.4,-1.91,678.23,645.68,613.13
03-10-2025,28-10-2025,TATACONSUM,Non-Hld,1138.5,1150,1096.85,3.8,1203.15,5.68,0.47,60.2,13.77,12.9,0.87,1159.15,1115.7,1072.25
03-10-2025,28-10-2025,TATAELXSI,Non-Hld,5350,6000,5212.15,2.65,6787.85,26.88,0.62,39.55,-102.39,-73.45,-28.93,5911.75,5543.18,5174.6
03-10-2025,28-10-2025,TATAPOWER,Non-Hld,395,400,383.8,2.92,416.2,5.37,0.95,57.09,0.84,0.64,0.2,398.49,389.82,381.14
03-10-2025,28-10-2025,TATASTEEL,Non-Hld,173.29,175,166.7,3.96,183.3,5.78,0.75,61.68,1.96,2.42,-0.46,174.06,170.3,166.54
03-10-2025,28-10-2025,TATATECH,Non-Hld,707,700,662.9,6.66,737.1,4.26,0.65,56.84,-0.36,0.64,-1,728.77,694.63,660.49
03-10-2025,28-10-2025,TCS,Non-Hld,2903,3000,2842.5,2.13,3157.5,8.77,0.78,31.64,-53.8,-31.84,-21.96,3231.01,3033.15,2835.3
03-10-2025,28-10-2025,TECHM,Non-Hld,1398,1500,1380.9,1.24,1619.1,15.82,0.96,32.77,-27.05,-15.28,-11.76,1569.82,1465.74,1361.67
03-10-2025,28-10-2025,TIINDIA,Non-Hld,3130,3200,2999.75,4.35,3400.25,8.64,0.48,47.4,11.09,43.77,-32.68,3463.46,3222.21,2980.95
03-10-2025,28-10-2025,TITAGARH,Non-Hld,890.95,900,839.45,6.14,960.55,7.82,0.57,48.94,4.11,10.61,-6.5,970.66,904.84,839.01
03-10-2025,28-10-2025,TITAN,Non-Hld,3450,3400,3238.3,6.54,3561.7,3.24,0.68,46.24,-44.6,-34.52,-10.08,3697.1,3498.66,3300.21
03-10-2025,28-10-2025,TMPV,Non-Hld,715.85,800,716.3,-0.06,883.7,23.45,0.7,58.77,2.06,2.07,-0.01,735.81,701.29,666.77
03-10-2025,28-10-2025,TORNTPHARM,Non-Hld,3513.9,3600,3457.35,1.64,3742.65,6.51,0.51,41.63,-6.86,-0.23,-6.63,3664.8,3583.75,3502.7
03-10-2025,28-10-2025,TORNTPOWER,Non-Hld,1219,1300,1202.35,1.39,1397.65,14.66,0.66,36.11,-19.28,-16.21,-3.07,1294.81,1254.48,1214.15
03-10-2025,28-10-2025,TRENT,Non-Hld,4817.8,5000,4658.2,3.43,5341.8,10.88,0.65,36.6,-154.81,-133.3,-21.51,5481.04,5026.71,4572.38
03-10-2025,28-10-2025,TVSMOTOR,Non-Hld,3447.6,3500,3307.4,4.24,3692.6,7.11,0.65,57.72,47.7,71.97,-24.27,3584.32,3489.68,3395.05
03-10-2025,28-10-2025,ULTRACEMCO,Non-Hld,12018,13000,12011.8,0.06,13988.2,16.4,0.63,37.62,-117.31,-63.51,-53.8,12840.5,12389.9,11939.3
03-10-2025,28-10-2025,UNIONBANK,Non-Hld,137.7,140,131.2,4.96,148.8,8.07,0.66,55.2,1.43,1.22,0.2,143.31,135.35,127.39
03-10-2025,28-10-2025,UNITDSPR,Non-Hld,1364,1520,1341.6,1.67,1698.4,24.52,0.63,60.01,4.01,0.78,3.23,1359.74,1323.59,1287.44
03-10-2025,28-10-2025,UNOMINDA,Non-Hld,1315.5,1320,1249.75,5.27,1390.25,5.69,0.82,59.08,21.01,26.34,-5.33,1334.33,1301.07,1267.81
03-10-2025,28-10-2025,UPL,Non-Hld,676,700,661.65,2.17,738.35,9.23,0.67,45.05,-10.86,-8.33,-2.53,720.12,684,647.89
03-10-2025,28-10-2025,VBL,Non-Hld,443.45,500,443.1,0.08,556.9,25.59,0.66,32.39,-12.33,-10.63,-1.7,486.3,462.28,438.25
03-10-2025,28-10-2025,VEDL,Non-Hld,471.5,500,461.95,2.07,538.05,14.12,0.74,63.86,8.07,7.14,0.92,473.73,452.28,430.83
03-10-2025,28-10-2025,VOLTAS,Non-Hld,1360,1400,1314.75,3.45,1485.25,9.21,0.83,45.66,-4.52,2.85,-7.37,1445.37,1391.11,1336.85
